Id,TotRmsAbvGrd,GrLivArea,TotalBsmtSF,1stFlrSF,GarageCars,GarageArea,FullBath,HalfBath,OverallQual,YearBuilt,SalePrice
495,4,886,190,886,1,273,1,0,5,1938,91300
496,4,720,720,720,0,0,1,0,4,1920,34900
497,10,3228,3200,3228,2,546,3,0,8,1992,430000
498,8,1820,1026,1133,1,240,2,0,7,1925,184000
499,5,899,864,899,1,288,1,0,5,1967,130000
500,5,912,912,912,1,297,1,0,5,1958,120000
501,7,1218,672,672,1,264,1,1,6,1973,113000
502,7,1768,866,866,2,603,2,1,7,2005,226700
503,6,1214,1214,1214,2,461,1,0,5,1965,140000
504,6,1801,1501,1801,2,484,2,0,7,1959,289000
505,6,1322,855,855,2,440,2,1,6,1974,147000
506,10,1960,960,960,2,400,2,0,5,1952,124500
507,8,1911,777,1065,2,471,2,1,8,1993,215000
508,4,1218,1218,1218,2,676,2,0,6,2009,208300
509,7,1378,689,689,2,360,2,0,7,1928,161000
510,6,1041,1041,1041,1,270,1,0,5,1959,124500
511,6,1363,1008,1363,1,288,1,0,5,1951,164900
512,6,1368,1368,1368,2,474,2,0,7,2005,202665
513,5,864,864,864,2,624,1,0,5,1958,129900
514,5,1080,1084,1080,2,484,1,1,6,1983,134000
515,5,789,768,789,1,200,1,0,5,1926,96500
516,9,2020,2006,2020,3,900,2,1,10,2009,402861
517,7,2119,689,1378,2,583,2,1,6,1972,158000
518,7,2344,1264,1277,3,889,2,1,7,1996,265000
519,7,1796,794,882,2,546,2,1,6,1998,211000
520,9,2080,1276,1276,1,282,1,1,7,1926,234000
521,7,1294,0,694,0,0,2,0,4,1900,106250
522,6,1244,1244,1244,1,336,1,1,6,1957,150000
523,7,1664,1004,1004,2,420,2,0,6,1947,159000
524,11,4676,3138,3138,3,884,3,1,10,2007,184750
525,8,2398,1379,1383,3,834,2,1,7,1996,315750
526,6,1266,1257,1266,2,453,2,0,7,2005,176000
527,4,928,928,928,1,252,1,0,5,1956,132000
528,11,2713,1452,1476,3,858,2,1,9,2008,446261
529,5,605,528,605,0,0,1,0,4,1920,86000
530,9,2515,2035,2515,2,484,3,0,6,1957,200624
531,5,1509,1461,1509,2,600,2,0,6,1988,175000
532,6,1362,611,751,2,502,2,0,6,1920,128000
533,5,827,0,827,1,392,1,0,5,1955,107500
534,2,334,0,334,0,0,1,0,1,1946,39300
535,6,1414,707,707,2,403,2,1,8,2004,178000
536,5,1347,1117,820,0,0,1,0,5,1910,107500
537,8,1724,880,880,2,527,2,1,7,1998,188000
538,5,864,864,864,2,576,1,0,4,1972,111250
539,7,1159,1051,1159,1,336,1,1,5,1968,158000
540,6,1601,1581,1601,2,670,2,0,8,2001,272000
541,8,1838,1838,1838,3,765,2,0,9,2006,315000
542,8,2285,969,997,3,648,2,1,8,2000,248000
543,7,1680,1650,1680,2,583,2,0,7,1998,213250
544,4,767,723,767,1,367,1,0,7,1998,133000
545,7,1496,654,664,2,426,2,1,7,2006,179665
546,9,2183,1204,1377,3,786,2,1,7,1988,229000
547,6,1635,1065,915,2,440,1,1,6,1923,210000
548,5,768,768,768,2,624,1,0,5,1970,129500
549,4,825,825,825,2,720,1,0,5,1955,125000
550,8,2094,912,912,2,615,2,1,7,2003,263000
551,4,1069,1069,1069,2,440,2,0,6,1977,140000
552,5,928,928,928,1,288,1,0,5,1957,112500
553,7,1717,1709,1717,3,908,2,0,8,2006,255500
554,5,1126,0,1126,2,520,2,0,4,1949,108000
555,8,2046,998,1006,3,871,2,1,7,2003,284000
556,5,1048,993,1048,1,280,1,0,5,1922,113000
557,6,1092,1092,1092,1,299,1,0,5,1957,141000
558,7,1336,637,897,1,570,1,1,4,1920,108000
559,6,1446,729,729,2,406,2,1,7,1996,175000
560,7,1557,1374,1557,2,420,2,0,7,2003,234000
561,5,1392,1392,1392,2,528,1,1,5,1957,121500
562,6,1389,1389,1389,2,418,1,0,5,1974,170000
563,6,996,996,996,0,0,1,0,5,1940,108000
564,8,1674,1163,1163,2,396,2,0,6,1918,185000
565,9,2295,1095,1166,2,590,2,1,7,1992,268000
566,6,1647,806,841,1,216,1,1,6,1915,128000
567,11,2504,1122,1134,3,656,2,1,9,2005,325000
568,7,1535,1517,1535,2,532,2,0,7,2004,214000
569,5,2132,1496,1496,2,612,1,1,8,1983,316600
570,4,943,943,943,2,600,1,0,5,1979,135960
571,10,1728,1728,1728,2,576,2,0,5,1965,142600
572,4,864,864,864,1,288,1,0,6,1959,120000
573,6,1692,846,846,2,650,2,1,7,2009,224500
574,8,1430,384,774,2,400,2,1,7,2000,170000
575,5,1109,372,576,1,288,1,0,5,1971,139000
576,6,1216,832,832,1,336,1,0,5,1947,118500
577,6,1477,861,877,1,216,2,0,7,1928,145000
578,6,1320,1164,1320,2,564,1,0,5,1966,164500
579,5,1392,689,703,2,540,2,0,7,2007,146000
580,7,1795,1050,1050,1,352,2,0,5,1954,131500
581,7,1429,1144,1429,2,572,1,0,6,1960,181900
582,8,2042,2042,2042,3,1390,2,1,8,2008,253293
583,5,816,816,816,0,0,1,0,6,1990,118500
584,9,2775,1237,1521,2,880,3,1,10,1893,325000
585,6,1573,884,989,1,240,1,0,4,1935,133000
586,7,2028,1868,2028,3,880,2,0,8,2005,369900
587,5,838,816,838,1,275,1,0,6,1918,130000
588,4,860,840,860,2,528,1,0,5,1982,137000
589,5,1473,1437,1473,1,452,1,0,5,1968,143000
590,4,935,742,779,1,308,1,0,5,1930,79500
591,6,1582,770,770,2,520,2,1,7,2004,185900
592,10,2296,1722,1728,3,842,2,1,10,2008,451950
593,4,816,816,816,2,816,1,0,5,1982,138000
594,4,848,848,848,2,420,1,0,6,2003,140000
595,5,924,924,924,1,280,1,0,5,1975,110000
596,7,1826,1814,1826,3,758,2,0,8,2005,319000
597,7,1368,684,684,1,216,1,0,6,1910,114504
598,7,1402,1258,1402,3,648,0,2,7,2006,194201
599,7,1647,1430,1647,2,621,2,0,5,1977,217500
600,6,1556,716,716,2,452,2,1,6,1980,151000
601,8,1904,1058,1058,2,736,2,1,8,2005,275000
602,6,1375,780,780,1,544,1,1,6,1937,141000
603,8,1915,908,927,2,506,2,1,8,1992,220000
604,4,1200,600,600,2,480,2,1,7,2004,151000
605,6,1494,1494,1494,2,530,2,0,7,2002,221000
606,7,1986,768,1186,2,486,2,1,7,1965,205000
607,6,1040,1040,1040,2,576,1,0,5,1996,152000
608,8,2008,896,1112,1,230,3,0,5,1948,225000
609,10,3194,965,1940,2,380,2,1,8,1934,359100
610,5,1029,1029,1029,1,261,1,0,4,1961,118500
611,8,2153,1440,1476,3,736,2,1,9,2000,313000
612,6,1032,1032,1032,2,564,2,0,6,1978,148000
613,7,1872,1299,1299,2,531,2,1,8,2001,261500
614,6,1120,1120,1120,0,0,1,0,5,2007,147000
615,3,630,630,630,0,0,1,0,4,1972,75500
616,6,1054,936,1054,2,480,1,0,6,1963,137500
617,7,1509,783,807,2,393,2,1,6,2002,183200
618,4,832,832,832,2,528,1,0,6,1954,105500
619,9,1828,1822,1828,3,774,2,0,9,2007,314813
620,10,2262,1482,1482,3,749,2,1,8,2003,305000
621,5,864,864,864,0,0,1,0,3,1914,67000
622,9,2614,1522,1548,2,624,2,1,6,1974,240000
623,6,980,980,980,2,484,1,0,5,1977,135000
624,4,1512,756,756,2,440,2,1,6,2000,168500
625,8,1790,732,1012,2,484,1,2,6,1972,165150
626,5,1116,1116,1116,2,440,1,1,6,1962,160000
627,6,1422,978,1422,1,286,1,0,5,1960,139900
628,7,1520,1156,1520,1,364,1,0,6,1955,153000
629,9,2080,1040,1040,2,504,1,2,5,1969,135000
630,6,1350,1248,1350,2,520,1,1,6,1964,168500
631,8,1750,636,1089,1,240,1,0,5,1880,124000
632,6,1554,1554,1554,2,627,2,0,8,2006,209500
633,6,1411,1386,1411,2,544,2,0,7,1977,82500
634,6,1056,1056,1056,1,260,1,0,5,1954,139400
635,4,1056,1056,1056,2,576,0,0,6,1980,144000
636,14,3395,1440,1440,0,0,2,0,6,1914,200000
637,4,800,264,800,0,0,1,0,2,1936,60000
638,7,1387,811,811,1,256,2,0,5,1954,93000
639,4,796,796,796,0,0,1,0,5,1910,85000
640,7,1567,1520,1567,3,648,2,0,8,2006,264561
641,6,1518,1518,1518,2,588,1,1,8,2003,274000
642,7,1929,1057,1057,2,650,2,1,7,2001,226000
643,9,2704,1952,2000,2,538,2,1,8,1972,345000
644,7,1620,780,780,2,462,2,1,5,1969,152000
645,7,1766,1766,1766,3,478,2,1,9,2009,370878
646,5,981,981,981,2,576,1,1,6,1971,143250
647,7,1048,0,1048,2,420,1,0,5,1950,98300
648,5,1094,1094,1094,2,495,1,0,6,1953,155000
649,7,1839,756,1051,2,442,1,1,6,1966,155000
650,3,630,630,630,0,0,1,0,4,1970,84500
651,7,1665,813,822,2,562,2,1,7,2007,205950
652,7,1510,755,755,1,296,1,0,4,1940,108000
653,7,1716,880,909,2,512,2,1,7,1996,191000
654,7,1469,756,756,1,216,1,0,6,1906,135000
655,7,2113,2109,2113,3,839,2,1,8,1995,350000
656,6,1092,525,525,1,264,1,1,6,1971,88000
657,5,1053,1053,1053,1,312,1,1,5,1959,145500
658,6,1502,776,851,1,270,1,1,7,1931,149000
659,6,1458,912,912,1,330,1,0,6,1948,97500
660,7,1486,1486,1486,2,480,1,0,5,1964,167000
661,7,1935,793,1142,2,550,2,1,7,1976,197900
662,8,2448,1629,1686,3,711,2,1,8,1994,402000
663,5,1392,1392,1392,2,576,1,0,6,1968,110000
664,6,1181,1138,1181,2,588,2,0,4,1972,137500
665,8,2097,2077,2097,3,1134,1,1,8,2005,423000
666,7,1936,1406,1454,2,504,2,1,8,2000,230500
667,7,2380,1021,1465,2,596,2,1,6,1965,129000
668,7,1679,1408,1679,2,575,2,0,6,1994,193500
669,6,1437,1188,1437,2,576,1,1,5,1956,168000
670,5,1180,700,1180,1,252,1,0,4,1922,137500
671,7,1476,738,738,2,540,2,1,6,2005,173500
672,6,1369,672,697,1,300,2,0,6,1925,103600
673,6,1208,1208,1208,2,546,1,1,6,1977,165000
674,7,1839,1477,1839,2,416,2,0,6,1957,257500
675,5,1136,1136,1136,1,384,1,0,6,1965,140000
676,7,1441,855,855,2,440,2,1,6,1978,148500
677,8,1774,1095,1095,3,779,2,0,4,1900,87000
678,5,792,768,792,1,240,1,0,5,1924,109500
679,7,2046,2046,2046,3,834,2,1,8,2008,372500
680,5,988,988,988,2,572,1,0,5,1961,128500
681,5,923,923,923,1,264,2,0,6,1980,143000
682,6,1520,793,848,1,281,1,0,5,1932,159434
683,6,1291,1291,1291,2,431,1,0,6,1996,173000
684,7,1668,1626,1668,3,702,2,0,9,2002,285000
685,7,1839,1195,1195,2,486,2,1,7,1998,221000
686,6,2090,1190,1190,2,577,2,0,7,1984,207500
687,7,1761,874,874,2,578,3,0,7,2007,227875
688,4,1102,551,551,2,480,2,1,7,2004,148800
689,7,1419,1419,1419,2,567,2,0,8,2007,392000
690,6,1362,1362,1362,2,460,2,0,6,2005,194700
691,3,848,848,848,2,420,1,0,6,2004,141000
692,10,4316,2444,2444,3,832,3,1,10,1994,755000
693,9,2519,1210,1238,2,628,2,1,7,1989,335000
694,4,1073,1073,1073,1,326,1,0,5,1921,108480
695,5,1539,927,1067,2,576,1,1,5,1936,141500
696,5,1137,1112,1137,2,551,2,0,6,1987,176000
697,4,616,616,616,1,205,1,0,5,1921,89000
698,6,1148,980,1148,1,308,1,0,5,1952,123500
699,5,894,894,894,1,336,1,0,5,1965,138500
700,5,1391,1391,1391,2,530,2,0,7,2004,196000
701,7,1800,1800,1800,3,765,2,0,8,2002,312500
702,6,1164,1164,1164,2,528,1,1,7,1969,140000
703,10,2576,1234,1264,3,666,2,1,8,2006,361919
704,8,1812,360,1032,2,672,2,0,5,1900,140000
705,7,1484,1473,1484,2,606,2,0,7,2004,213000
706,7,1092,0,372,0,0,2,0,4,1930,55000
707,5,1824,1643,1824,2,739,2,0,7,1971,302000
708,6,1324,1324,1324,2,550,2,0,8,2006,254000
709,8,1456,728,728,2,400,2,1,7,2007,179540
710,6,904,876,904,1,408,1,0,5,1966,109900
711,5,729,270,729,0,0,1,0,3,1935,52000
712,7,1178,859,859,1,384,1,0,4,1900,102776
713,5,1228,1228,1228,2,472,2,0,8,1988,189000
714,6,960,960,960,2,576,1,0,4,1970,129000
715,6,1479,725,725,2,475,2,1,6,1976,130500
716,7,1350,1064,1350,2,478,2,0,6,1974,165000
717,8,2554,718,1576,2,704,1,1,7,1890,159500
718,5,1178,1176,1178,2,439,1,1,5,1973,157000
719,9,2418,1311,1325,3,983,2,1,7,1993,341000
720,5,971,971,971,1,300,1,1,5,1969,128500
721,5,1742,1742,1742,2,564,2,0,8,1985,275000
722,3,848,848,848,2,420,1,0,6,2004,143000
723,5,864,864,864,2,463,1,0,4,1970,124500
724,7,1470,941,997,1,548,2,0,4,1954,135000
725,8,1698,1698,1698,3,768,2,0,9,2007,320000
726,5,864,864,864,2,660,1,0,4,1970,120500
727,5,1680,880,1680,2,540,2,0,6,1988,222000
728,6,1232,1232,1232,2,632,2,0,7,2007,194500
729,9,1776,1584,1776,3,888,2,0,5,1958,110000
730,5,1208,780,848,2,539,1,0,4,1925,103000
731,5,1616,1595,1616,2,608,2,0,8,1995,236500
732,6,1146,868,1146,2,438,2,0,7,2003,187500
733,8,2031,1153,1153,2,541,2,1,7,1998,222500
734,6,1144,864,1144,1,264,1,0,5,1961,131400
735,6,948,948,948,1,300,1,0,5,1968,108000
736,6,1768,880,880,2,320,1,1,7,1914,163000
737,6,1040,0,1040,2,400,2,0,3,1950,93500
738,8,1801,893,901,3,800,2,1,8,2005,239900
739,5,1200,1200,1200,0,0,3,0,5,1987,179000
740,7,1728,864,864,2,572,2,1,7,2004,190000
741,7,1432,264,768,2,360,2,0,5,1910,132000
742,5,912,912,912,1,288,1,0,6,1961,142000
743,6,1349,1349,1349,2,539,2,0,7,2000,179000
744,6,1464,520,1464,2,480,2,0,5,1963,175000
745,5,1337,1337,1337,2,462,2,0,8,1993,180000
746,11,2715,1142,1175,2,831,3,1,8,1976,299800
747,8,2256,952,980,2,554,2,1,7,2000,236000
748,8,2640,1240,1320,4,864,1,1,7,1880,265979
749,7,1720,1720,1720,2,527,2,0,7,1996,260400
750,9,1529,0,1088,1,240,2,0,4,1945,98000
751,7,1140,576,792,0,0,1,0,4,1910,96500
752,6,1320,660,660,2,400,2,1,7,2003,162000
753,6,1494,1479,1494,2,576,2,0,6,1997,217000
754,8,2098,1030,1038,3,878,2,1,8,2005,275500
755,5,1026,1026,1026,2,440,1,0,6,1969,156000
756,6,1471,729,742,2,440,2,1,6,1999,172500
757,7,1768,866,866,2,578,2,1,8,2007,212000
758,6,1386,672,672,2,440,2,1,6,1978,158900
759,6,1501,744,757,2,440,2,1,7,1999,179400
760,9,2531,1318,1328,3,752,2,1,8,1995,290000
761,5,864,864,864,1,300,1,0,6,1959,127500
762,5,1301,1145,1301,2,440,1,0,5,1924,100000
763,7,1547,756,764,2,614,2,1,7,2009,215200
764,8,2365,1252,1268,3,856,2,1,8,1999,337000
765,6,1494,1494,1494,2,481,1,1,8,1995,270000
766,6,1506,1498,1506,2,592,2,0,9,2008,264132
767,7,1714,980,980,2,496,2,1,7,1988,196500
768,7,1750,983,983,1,423,2,0,6,1940,160000
769,8,1836,1860,1836,2,484,2,0,7,2004,216837
770,12,3279,1650,1690,3,841,3,1,8,2003,538000
771,5,858,858,858,2,576,1,0,5,1982,134900
772,6,1220,836,1220,2,396,1,0,4,1951,102000
773,6,1117,1029,1117,2,672,1,0,6,1976,107000
774,5,912,912,912,1,275,1,0,5,1958,114500
775,9,1973,1935,1973,3,895,2,0,8,2006,395000
776,5,1204,1204,1204,2,412,2,0,6,1998,162000
777,7,1614,1614,1614,3,865,2,0,7,2005,221500
778,5,894,864,894,2,440,1,0,5,1974,142500
779,10,2020,0,2020,2,630,2,0,5,1977,144000
780,4,1004,975,1004,2,504,1,0,6,1977,135000
781,6,1253,1237,1253,2,402,2,0,7,1995,176000
782,7,1603,761,810,2,484,2,1,6,1992,175900
783,6,1430,1413,1430,2,605,2,0,7,2001,187100
784,4,1110,1097,1110,2,602,1,0,5,1978,165500
785,9,1484,742,742,0,0,2,0,6,1914,128000
786,7,1342,1372,1342,2,457,2,0,6,1967,161500
787,7,1652,686,966,1,416,2,0,5,1915,139000
788,8,2084,956,956,2,618,2,1,7,2004,233000
789,4,901,901,901,1,281,1,0,4,1954,107900
790,9,2087,832,976,2,444,2,1,6,1966,187500
791,5,1145,1145,1145,2,397,2,0,7,2005,160200
792,5,1062,1029,1062,2,539,1,0,6,1976,146800
793,8,2013,1117,1127,2,455,2,1,7,1996,269790
794,7,1496,1496,1496,2,474,2,0,8,2007,225000
795,7,1895,712,1086,2,409,2,1,7,1994,194500
796,7,1564,650,888,2,476,2,1,6,1980,171000
797,7,1285,660,1285,2,528,1,1,6,1977,143500
798,4,773,773,773,1,240,1,0,5,1953,110000
799,11,3140,1926,1966,3,820,3,1,9,2008,485000
800,7,1768,731,981,1,240,1,1,5,1937,175000
801,8,1688,616,616,2,603,2,1,6,1997,200000
802,5,1196,1196,1196,2,440,1,0,4,1916,109900
803,7,1456,728,728,2,410,2,1,7,2005,189000
804,12,2822,1734,1734,3,1020,3,1,9,2008,582933
805,5,1128,936,1128,1,286,1,0,5,1954,118000
806,6,1428,1417,1428,2,554,2,0,7,2008,227680
807,6,980,980,980,1,384,2,0,5,1967,135500
808,6,1576,1324,1072,2,528,1,1,5,1923,223500
809,6,1086,1024,1086,2,484,1,0,5,1966,159950
810,11,2138,849,1075,2,360,2,0,5,1898,106000
811,5,1309,1040,1309,2,484,1,1,6,1974,181000
812,4,848,848,848,2,420,1,0,6,2004,144500
813,4,1044,540,1044,2,504,1,0,5,1952,55993
814,7,1442,1442,1442,1,301,1,1,6,1958,157900
815,7,1250,686,686,1,280,1,1,5,1918,116000
816,6,1661,1649,1661,2,598,2,0,7,1998,224900
817,4,1008,1008,1008,1,275,1,0,5,1954,137000
818,7,1689,1568,1689,3,857,2,0,8,2002,271000
819,6,1052,1010,1052,2,440,1,0,6,1971,155000
820,6,1358,1358,1358,2,484,2,0,7,2009,224000
821,6,1640,798,798,2,595,2,1,7,2003,183000
822,4,936,936,936,2,576,1,0,4,1953,93000
823,7,1733,847,847,2,433,2,1,7,2003,225000
824,7,1489,778,944,1,240,2,0,6,1940,139500
825,7,1489,1489,1489,2,776,2,0,8,2006,232600
826,7,2084,2078,2084,3,1220,2,0,10,2007,385000
827,5,784,784,784,0,0,1,0,5,1924,109500
828,6,1434,1454,1434,2,527,2,0,7,2001,189000
829,7,2126,1013,1160,2,538,2,1,5,1967,185000
830,4,1223,600,520,2,480,2,1,7,2005,147400
831,6,1392,1392,1392,2,458,1,1,6,1957,166000
832,4,1200,600,520,2,480,2,1,7,2005,151000
833,7,1829,941,941,2,613,2,1,7,2003,237000
834,6,1516,1516,1516,2,472,1,1,6,1964,167000
835,6,1144,1144,1144,2,456,1,0,5,1961,139950
836,4,1067,1067,1067,2,436,2,0,4,1950,128000
837,5,1559,1559,1559,2,812,1,0,5,1948,153500
838,5,987,483,483,1,264,1,1,6,1973,100000
839,6,1099,1099,1099,1,352,1,1,5,1995,144000
840,6,1200,768,768,1,240,1,0,5,1946,130500
841,7,1482,672,810,1,400,2,0,6,1925,140000
842,8,1539,650,958,2,686,2,0,5,1904,157500
843,6,1165,1127,1165,2,490,1,1,6,1966,174900
844,10,1800,1800,1800,0,0,2,0,5,1961,141000
845,7,1416,876,876,3,720,1,1,5,1915,153900
846,6,1701,1390,1701,2,611,2,0,5,1975,171000
847,7,1775,740,1006,2,425,2,1,7,1993,213000
848,5,864,864,864,1,338,1,0,5,1972,133500
849,10,2358,907,1307,2,360,3,0,6,1908,240000
850,7,1855,528,1094,2,512,2,1,6,1976,187000
851,3,848,848,848,2,420,1,0,6,2003,131500
852,7,1456,1273,1456,2,400,2,0,8,2003,215000
853,7,1646,918,918,1,240,2,0,7,1941,164000
854,7,1445,1127,1445,2,645,1,1,6,1964,158000
855,6,1779,1763,1779,2,454,1,1,5,1955,170000
856,6,1040,1040,1040,1,260,1,1,5,1962,127000
857,5,1026,940,1026,2,576,1,0,6,1978,147000
858,6,1481,702,702,2,343,2,1,6,1994,174000
859,6,1370,1090,1370,2,479,2,0,7,1976,152000
860,9,2654,1054,1512,2,619,2,1,6,1968,250000
861,7,1426,912,912,1,216,1,1,7,1918,189950
862,6,1039,1039,1039,2,504,1,1,5,1965,131500
863,6,1097,1040,1097,2,480,2,0,6,1984,152000
864,6,1148,1148,1148,1,672,1,0,5,1959,132500
865,6,1372,1372,1372,2,529,2,0,7,2007,250580
866,5,1002,1002,1002,2,902,1,0,5,1970,148500
867,6,1646,1638,1646,3,870,2,0,8,2006,248900
868,5,1120,1040,1120,2,544,1,1,4,1961,129000
869,7,2320,0,1547,2,672,2,0,5,1948,169000
870,8,1949,1050,1062,2,574,2,1,7,1993,236000
871,5,894,894,894,1,308,1,0,5,1962,109500
872,7,1682,804,804,2,523,2,1,6,1998,200500
873,5,910,105,910,2,414,1,0,5,1953,116000
874,6,1268,832,1036,1,288,1,0,5,1949,133000
875,5,1131,676,676,1,200,1,1,5,1941,66500
876,11,2610,1184,1184,2,550,2,1,8,2007,303477
877,5,1040,1064,1040,2,648,1,0,4,1963,132250
878,10,2224,1462,1462,3,738,2,1,9,2004,350000
879,6,1155,1109,1155,2,576,1,0,5,1961,148000
880,6,864,864,864,1,336,1,0,5,1978,136500
881,5,1090,1090,1090,2,450,1,1,5,2005,157000
882,7,1717,1156,1187,2,400,2,1,7,1990,187500
883,7,1593,808,808,2,389,2,1,6,1992,178000
884,10,2230,795,954,1,440,1,0,4,1912,118500
885,5,892,892,892,1,288,1,0,5,1967,100000
886,5,1709,1698,1709,2,506,2,0,9,1999,328900
887,8,1712,1626,1712,2,588,2,0,5,1959,145000
888,8,1393,816,872,1,300,1,1,5,1955,135500
889,8,2217,2217,2217,2,621,2,0,8,1970,268000
890,6,1505,1505,1505,2,505,1,0,6,1953,149500
891,6,924,672,672,2,576,1,0,5,1949,122900
892,7,1683,918,918,2,440,2,1,6,1978,172500
893,6,1068,1059,1068,1,264,1,0,6,1963,154500
894,6,1383,1383,1383,1,354,1,0,5,1954,165000
895,8,1535,0,1535,2,400,2,0,5,1979,118858
896,8,1796,780,983,2,483,1,1,6,1963,140000
897,6,951,951,951,1,327,1,0,4,1936,106500
898,12,2240,0,1120,2,528,2,0,5,1979,142953
899,11,2364,2330,2364,3,820,2,1,9,2009,611657
900,6,1236,912,1236,1,288,1,0,5,1961,135000
901,4,858,858,858,1,684,1,0,4,1971,110000
902,5,1306,992,1306,1,756,1,0,5,1957,153000
903,8,1509,783,807,2,393,2,1,7,2003,180000
904,7,1670,1670,1670,3,690,2,0,7,2006,240000
905,6,902,876,902,1,288,1,0,5,1967,125500
906,6,1063,1056,1063,1,280,1,0,5,1954,128000
907,8,1636,1623,1636,3,865,2,0,8,2006,255000
908,6,2057,1017,1020,1,180,1,1,7,1936,250000
909,5,902,864,902,2,484,1,0,5,1983,131000
910,8,1484,742,742,2,390,2,1,6,2005,174000
911,12,2274,1105,1105,2,480,2,0,5,1960,154300
912,5,1268,1268,1268,1,252,1,1,5,1977,143500
913,6,1015,768,1015,1,450,1,0,5,1925,88000
914,8,2002,1001,1001,3,871,2,0,5,1949,145000
915,4,1224,612,612,2,528,2,1,6,2009,173733
916,6,1092,546,546,1,286,1,1,4,1970,75000
917,4,480,480,480,1,308,0,0,2,1949,35311
918,6,1229,1134,1229,1,284,1,0,4,1956,135000
919,8,2127,1104,912,3,833,2,1,7,1991,238000
920,6,1414,1184,1414,2,601,1,0,6,1958,176500
921,7,1721,928,936,2,471,2,1,6,1994,201000
922,9,2200,1272,1272,0,0,2,2,5,1900,145900
923,6,1316,1316,1316,2,397,2,0,6,2005,169990
924,5,1617,1604,1617,2,533,2,0,6,1993,193000
925,7,1686,1686,1686,2,612,2,0,6,1980,207500
926,6,1126,1126,1126,2,540,2,0,5,1977,175000
927,10,2374,1181,1234,3,656,2,1,8,2003,285000
928,9,1978,832,1098,2,486,2,1,7,1968,176000
929,7,1788,1753,1788,2,522,2,0,8,2001,236500
930,8,2236,964,993,2,642,2,1,7,1997,222000
931,7,1466,1466,1466,3,610,2,0,8,2007,201000
932,5,925,925,925,1,429,1,0,5,1965,117500
933,8,1905,1905,1905,3,788,2,0,9,2006,320000
934,6,1500,1500,1500,2,570,2,0,7,2004,190000
935,9,2069,585,2069,2,505,2,0,7,1960,242000
936,5,747,600,747,2,528,1,0,4,1926,79900
937,5,1200,1176,1200,2,555,2,0,7,2003,184900
938,8,1971,1113,1113,2,689,2,1,7,2005,253000
939,7,1962,1391,1391,3,868,2,1,7,2006,239799
940,10,2403,1032,1207,1,349,2,0,7,1940,244400
941,8,1728,1728,1728,2,574,2,0,6,1976,150900
942,8,2060,992,1022,2,390,2,1,7,1999,214000
943,8,1440,1440,1440,0,0,2,0,4,1977,150000
944,8,1632,1632,1632,2,576,2,0,5,1967,143000
945,7,1344,819,1344,2,525,1,0,6,1958,137500
946,7,1869,1088,1188,2,456,1,0,5,1890,124900
947,6,1144,1144,1144,1,796,1,0,5,1959,143000
948,9,1629,1616,1629,3,808,2,0,8,2002,270000
949,7,1776,936,936,2,474,2,1,7,2002,192500
950,5,1381,1161,1381,2,676,1,1,6,1972,197500
951,5,864,864,864,2,720,1,0,5,1950,129000
952,6,965,828,965,1,300,1,0,5,1965,119900
953,5,768,768,768,1,396,1,0,5,1972,133900
954,7,1968,784,1168,2,530,2,1,5,1969,172000
955,4,980,945,980,0,0,2,0,6,1975,127500
956,8,1958,979,979,2,492,2,0,6,1946,145000
957,5,1229,561,561,2,462,1,1,6,1980,124000
958,6,1057,1057,1057,2,576,1,0,5,1962,132000
959,6,1337,1337,1337,2,531,2,0,7,2003,185000
960,6,1416,696,696,2,484,2,1,7,1999,155000
961,4,858,858,858,0,0,1,0,5,1958,116500
962,11,2872,1330,1542,2,619,2,1,6,1977,272000
963,7,1548,804,804,2,440,2,1,6,1976,155000
964,7,1800,1800,1800,2,702,2,0,9,2007,239000
965,8,1894,817,824,2,510,2,1,7,2002,214900
966,8,1484,783,783,2,393,2,1,6,2005,178900
967,7,1308,728,976,1,256,1,1,5,1940,160000
968,6,1098,1098,1098,1,260,1,0,5,1955,135000
969,6,968,600,600,0,0,1,0,3,1910,37900
970,6,1095,588,1095,1,264,1,0,6,1958,140000
971,6,1192,720,720,0,0,1,1,4,1949,135000
972,6,1626,764,764,2,474,2,0,7,2003,173000
973,5,918,918,918,1,264,2,0,6,1979,99500
974,6,1428,1428,1428,2,480,2,0,7,2007,182000
975,8,2019,728,1136,2,532,1,0,7,1910,167500
976,6,1382,673,673,2,490,2,1,7,2000,165000
977,4,869,440,869,0,0,1,0,4,1923,85500
978,4,1241,1241,1241,2,569,1,1,7,2006,199900
979,5,894,894,894,2,400,1,0,4,1954,110000
980,5,1121,1121,1121,2,480,1,0,5,1963,139000
981,6,999,944,999,2,588,1,0,7,1961,178400
982,8,2612,1225,1276,3,676,2,1,8,1998,336000
983,6,1266,1266,1266,2,388,2,0,7,2007,159895
984,9,2290,1128,1149,2,779,2,1,8,2002,255900
985,8,1734,0,1302,2,539,2,0,5,1977,126000
986,5,1164,1164,1164,1,240,1,0,5,1950,125000
987,5,1635,485,1001,1,255,1,0,6,1910,117000
988,8,1940,1930,1940,3,606,2,1,9,2009,395192
989,8,2030,848,1118,2,551,2,1,6,1976,195000
990,6,1576,770,778,2,614,2,1,7,2006,197000
991,7,2392,1396,1407,3,870,2,1,8,1997,348000
992,8,1742,916,916,2,424,1,1,8,1882,168000
