Id,TotRmsAbvGrd,GrLivArea,1stFlrSF,GarageCars,GarageArea,OverallQual,YearBuilt,SalePrice
484,5,1216,1216,2,402.0,AA,1998,"164,000$"
485,6,999,999,1,264.0,Av,1962,"132,500$"
486,5,1113,1113,1,264.0,Av,1950,"147,000$"
487,6,1073,1073,2,515.0,Av,1965,"156,000$"
488,7,1484,1484,2,487.0,Av,1971,"175,000$"
489,10,2414,1766,2,520.0,Av,1900,"160,000$"
490,3,630,630,1,286.0,BA,1970,"86,000$"
491,4,1304,616,1,336.0,Av,1976,"115,000$"
492,5,1578,958,1,240.0,AA,1941,"133,000$"
493,8,1456,728,2,429.0,AA,2006,"172,785$"
494,6,1269,1269,1,308.0,Av,1960,"155,000$"
495,4,886,886,1,273.0,Av,1938,"91,300$"
496,4,720,720,0,0.0,BA,1920,"34,900$"
497,10,3228,3228,2,546.0,VG,1992,"430,000$"
498,8,1820,1133,1,240.0,Gd,1925,"184,000$"
499,5,899,899,1,288.0,Av,1967,"130,000$"
500,5,912,912,1,297.0,Av,1958,"120,000$"
501,7,1218,672,1,264.0,AA,1973,"113,000$"
502,7,1768,866,2,603.0,Gd,2005,"226,700$"
503,6,1214,1214,2,461.0,Av,1965,"140,000$"
504,6,1801,1801,2,484.0,Gd,1959,"289,000$"
505,6,1322,855,2,440.0,AA,1974,"147,000$"
506,10,1960,960,2,400.0,Av,1952,"124,500$"
507,8,1911,1065,2,471.0,VG,1993,"215,000$"
508,4,1218,1218,2,676.0,AA,2009,"208,300$"
509,7,1378,689,2,360.0,Gd,1928,"161,000$"
510,6,1041,1041,1,270.0,Av,1959,"124,500$"
511,6,1363,1363,1,288.0,Av,1951,"164,900$"
512,6,1368,1368,2,474.0,Gd,2005,"202,665$"
513,5,864,864,2,624.0,Av,1958,"129,900$"
514,5,1080,1080,2,484.0,AA,1983,"134,000$"
515,5,789,789,1,200.0,Av,1926,"96,500$"
516,9,2020,2020,3,900.0,VE,2009,"402,861$"
517,7,2119,1378,2,583.0,AA,1972,"158,000$"
518,7,2344,1277,3,889.0,Gd,1996,"265,000$"
519,7,1796,882,2,546.0,AA,1998,"211,000$"
520,9,2080,1276,1,282.0,Gd,1926,"234,000$"
521,7,1294,694,0,0.0,BA,1900,"106,250$"
522,6,1244,1244,1,336.0,AA,1957,"150,000$"
523,7,1664,1004,2,420.0,AA,1947,"159,000$"
524,11,4676,3138,3,884.0,VE,2007,"184,750$"
525,8,2398,1383,3,834.0,Gd,1996,"315,750$"
526,6,1266,1266,2,453.0,Gd,2005,"176,000$"
527,4,928,928,1,252.0,Av,1956,"132,000$"
528,11,2713,1476,3,858.0,Ex,2008,"446,261$"
529,5,605,605,0,0.0,BA,1920,"86,000$"
530,9,2515,2515,2,484.0,AA,1957,"200,624$"
531,5,1509,1509,2,600.0,AA,1988,"175,000$"
532,6,1362,751,2,502.0,AA,1920,"128,000$"
533,5,827,827,1,392.0,Av,1955,"107,500$"
534,2,334,334,0,0.0,VP,1946,"39,300$"
535,6,1414,707,2,403.0,VG,2004,"178,000$"
536,5,1347,820,0,0.0,Av,1910,"107,500$"
537,8,1724,880,2,527.0,Gd,1998,"188,000$"
538,5,864,864,2,576.0,BA,1972,"111,250$"
539,7,1159,1159,1,336.0,Av,1968,"158,000$"
540,6,1601,1601,2,670.0,VG,2001,"272,000$"
541,8,1838,1838,3,765.0,Ex,2006,"315,000$"
542,8,2285,997,3,648.0,VG,2000,"248,000$"
543,7,1680,1680,2,583.0,Gd,1998,"213,250$"
544,4,767,767,1,367.0,Gd,1998,"133,000$"
545,7,1496,664,2,426.0,Gd,2006,"179,665$"
546,9,2183,1377,3,786.0,Gd,1988,"229,000$"
547,6,1635,915,2,440.0,AA,1923,"210,000$"
548,5,768,768,2,624.0,Av,1970,"129,500$"
549,4,825,825,2,720.0,Av,1955,"125,000$"
550,8,2094,912,2,615.0,Gd,2003,"263,000$"
551,4,1069,1069,2,440.0,AA,1977,"140,000$"
552,5,928,928,1,288.0,Av,1957,"112,500$"
553,7,1717,1717,3,908.0,VG,2006,"255,500$"
554,5,1126,1126,2,520.0,BA,1949,"108,000$"
555,8,2046,1006,3,871.0,Gd,2003,"284,000$"
556,5,1048,1048,1,280.0,Av,1922,"113,000$"
557,6,1092,1092,1,299.0,Av,1957,"141,000$"
558,7,1336,897,1,570.0,BA,1920,"108,000$"
559,6,1446,729,2,406.0,Gd,1996,"175,000$"
560,7,1557,1557,2,420.0,Gd,2003,"234,000$"
561,5,1392,1392,2,528.0,Av,1957,"121,500$"
562,6,1389,1389,2,418.0,Av,1974,"170,000$"
563,6,996,996,0,0.0,Av,1940,"108,000$"
564,8,1674,1163,2,396.0,AA,1918,"185,000$"
565,9,2295,1166,2,590.0,Gd,1992,"268,000$"
566,6,1647,841,1,216.0,AA,1915,"128,000$"
567,11,2504,1134,3,656.0,Ex,2005,"325,000$"
568,7,1535,1535,2,532.0,Gd,2004,"214,000$"
569,5,2132,1496,2,612.0,VG,1983,"316,600$"
570,4,943,943,2,600.0,Av,1979,"135,960$"
571,10,1728,1728,2,576.0,Av,1965,"142,600$"
572,4,864,864,1,288.0,AA,1959,"120,000$"
573,6,1692,846,2,650.0,Gd,2009,"224,500$"
574,8,1430,774,2,400.0,Gd,2000,"170,000$"
575,5,1109,576,1,288.0,Av,1971,"139,000$"
576,6,1216,832,1,336.0,Av,1947,"118,500$"
577,6,1477,877,1,216.0,Gd,1928,"145,000$"
578,6,1320,1320,2,564.0,Av,1966,"164,500$"
579,5,1392,703,2,540.0,Gd,2007,"146,000$"
580,7,1795,1050,1,352.0,Av,1954,"131,500$"
581,7,1429,1429,2,572.0,AA,1960,"181,900$"
582,8,2042,2042,3,1390.0,VG,2008,"253,293$"
583,5,816,816,0,0.0,AA,1990,"118,500$"
584,9,2775,1521,2,880.0,VE,1893,"325,000$"
585,6,1573,989,1,240.0,BA,1935,"133,000$"
586,7,2028,2028,3,880.0,VG,2005,"369,900$"
587,5,838,838,1,275.0,AA,1918,"130,000$"
588,4,860,860,2,528.0,Av,1982,"137,000$"
589,5,1473,1473,1,452.0,Av,1968,"143,000$"
590,4,935,779,1,308.0,Av,1930,"79,500$"
591,6,1582,770,2,520.0,Gd,2004,"185,900$"
592,10,2296,1728,3,842.0,VE,2008,"451,950$"
593,4,816,816,2,816.0,Av,1982,"138,000$"
594,4,848,848,2,420.0,AA,2003,"140,000$"
595,5,924,924,1,280.0,Av,1975,"110,000$"
596,7,1826,1826,3,758.0,VG,2005,"319,000$"
597,7,1368,684,1,216.0,AA,1910,"114,504$"
598,7,1402,1402,3,648.0,Gd,2006,"194,201$"
599,7,1647,1647,2,621.0,Av,1977,"217,500$"
600,6,1556,716,2,452.0,AA,1980,"151,000$"
601,8,1904,1058,2,736.0,VG,2005,"275,000$"
602,6,1375,780,1,544.0,AA,1937,"141,000$"
603,8,1915,927,2,506.0,VG,1992,"220,000$"
604,4,1200,600,2,480.0,Gd,2004,"151,000$"
605,6,1494,1494,2,530.0,Gd,2002,"221,000$"
606,7,1986,1186,2,486.0,Gd,1965,"205,000$"
607,6,1040,1040,2,576.0,Av,1996,"152,000$"
608,8,2008,1112,1,230.0,Av,1948,"225,000$"
609,10,3194,1940,2,380.0,VG,1934,"359,100$"
610,5,1029,1029,1,261.0,BA,1961,"118,500$"
611,8,2153,1476,3,736.0,Ex,2000,"313,000$"
612,6,1032,1032,2,564.0,AA,1978,"148,000$"
613,7,1872,1299,2,531.0,VG,2001,"261,500$"
614,6,1120,1120,0,0.0,Av,2007,"147,000$"
615,3,630,630,0,0.0,BA,1972,"75,500$"
616,6,1054,1054,2,480.0,AA,1963,"137,500$"
617,7,1509,807,2,393.0,AA,2002,"183,200$"
618,4,832,832,2,528.0,AA,1954,"105,500$"
619,9,1828,1828,3,774.0,Ex,2007,"314,813$"
620,10,2262,1482,3,749.0,VG,2003,"305,000$"
621,5,864,864,0,0.0,Fa,1914,"67,000$"
622,9,2614,1548,2,624.0,AA,1974,"240,000$"
623,6,980,980,2,484.0,Av,1977,"135,000$"
624,4,1512,756,2,440.0,AA,2000,"168,500$"
625,8,1790,1012,2,484.0,AA,1972,"165,150$"
626,5,1116,1116,2,440.0,AA,1962,"160,000$"
627,6,1422,1422,1,286.0,Av,1960,"139,900$"
628,7,1520,1520,1,364.0,AA,1955,"153,000$"
629,9,2080,1040,2,504.0,Av,1969,"135,000$"
630,6,1350,1350,2,520.0,AA,1964,"168,500$"
631,8,1750,1089,1,240.0,Av,1880,"124,000$"
632,6,1554,1554,2,627.0,VG,2006,"209,500$"
633,6,1411,1411,2,544.0,Gd,1977,"82,500$"
634,6,1056,1056,1,260.0,Av,1954,"139,400$"
635,4,1056,1056,2,576.0,AA,1980,"144,000$"
636,14,3395,1440,0,0.0,AA,1914,"200,000$"
637,4,800,800,0,0.0,Po,1936,"60,000$"
638,7,1387,811,1,256.0,Av,1954,"93,000$"
639,4,796,796,0,0.0,Av,1910,"85,000$"
640,7,1567,1567,3,648.0,VG,2006,"264,561$"
641,6,1518,1518,2,588.0,VG,2003,"274,000$"
642,7,1929,1057,2,650.0,Gd,2001,"226,000$"
643,9,2704,2000,2,538.0,VG,1972,"345,000$"
644,7,1620,780,2,462.0,Av,1969,"152,000$"
645,7,1766,1766,3,478.0,Ex,2009,"370,878$"
646,5,981,981,2,576.0,AA,1971,"143,250$"
647,7,1048,1048,2,420.0,Av,1950,"98,300$"
648,5,1094,1094,2,495.0,AA,1953,"155,000$"
649,7,1839,1051,2,442.0,AA,1966,"155,000$"
650,3,630,630,0,0.0,BA,1970,"84,500$"
651,7,1665,822,2,562.0,Gd,2007,"205,950$"
652,7,1510,755,1,296.0,BA,1940,"108,000$"
653,7,1716,909,2,512.0,Gd,1996,"191,000$"
654,7,1469,756,1,216.0,AA,1906,"135,000$"
655,7,2113,2113,3,839.0,VG,1995,"350,000$"
656,6,1092,525,1,264.0,AA,1971,"88,000$"
657,5,1053,1053,1,312.0,Av,1959,"145,500$"
658,6,1502,851,1,270.0,Gd,1931,"149,000$"
659,6,1458,912,1,330.0,AA,1948,"97,500$"
660,7,1486,1486,2,480.0,Av,1964,"167,000$"
661,7,1935,1142,2,550.0,Gd,1976,"197,900$"
662,8,2448,1686,3,711.0,VG,1994,"402,000$"
663,5,1392,1392,2,576.0,AA,1968,"110,000$"
664,6,1181,1181,2,588.0,BA,1972,"137,500$"
665,8,2097,2097,3,1134.0,VG,2005,"423,000$"
666,7,1936,1454,2,504.0,VG,2000,"230,500$"
667,7,2380,1465,2,596.0,AA,1965,"129,000$"
668,7,1679,1679,2,575.0,AA,1994,"193,500$"
669,6,1437,1437,2,576.0,Av,1956,"168,000$"
670,5,1180,1180,1,252.0,BA,1922,"137,500$"
671,7,1476,738,2,540.0,AA,2005,"173,500$"
672,6,1369,697,1,300.0,AA,1925,"103,600$"
673,6,1208,1208,2,546.0,AA,1977,"165,000$"
674,7,1839,1839,2,416.0,AA,1957,"257,500$"
675,5,1136,1136,1,384.0,AA,1965,"140,000$"
676,7,1441,855,2,440.0,AA,1978,"148,500$"
677,8,1774,1095,3,779.0,BA,1900,"87,000$"
678,5,792,792,1,240.0,Av,1924,"109,500$"
679,7,2046,2046,3,834.0,VG,2008,"372,500$"
680,5,988,988,2,572.0,Av,1961,"128,500$"
681,5,923,923,1,264.0,AA,1980,"143,000$"
682,6,1520,848,1,281.0,Av,1932,"159,434$"
683,6,1291,1291,2,431.0,AA,1996,"173,000$"
684,7,1668,1668,3,702.0,Ex,2002,"285,000$"
685,7,1839,1195,2,486.0,Gd,1998,"221,000$"
686,6,2090,1190,2,577.0,Gd,1984,"207,500$"
687,7,1761,874,2,578.0,Gd,2007,"227,875$"
688,4,1102,551,2,480.0,Gd,2004,"148,800$"
689,7,1419,1419,2,567.0,VG,2007,"392,000$"
690,6,1362,1362,2,460.0,AA,2005,"194,700$"
691,3,848,848,2,420.0,AA,2004,"141,000$"
692,10,4316,2444,3,832.0,VE,1994,"755,000$"
693,9,2519,1238,2,628.0,Gd,1989,"335,000$"
694,4,1073,1073,1,326.0,Av,1921,"108,480$"
695,5,1539,1067,2,576.0,Av,1936,"141,500$"
696,5,1137,1137,2,551.0,AA,1987,"176,000$"
697,4,616,616,1,205.0,Av,1921,"89,000$"
698,6,1148,1148,1,308.0,Av,1952,"123,500$"
699,5,894,894,1,336.0,Av,1965,"138,500$"
700,5,1391,1391,2,530.0,Gd,2004,"196,000$"
701,7,1800,1800,3,765.0,VG,2002,"312,500$"
702,6,1164,1164,2,528.0,Gd,1969,"140,000$"
703,10,2576,1264,3,666.0,VG,2006,"361,919$"
704,8,1812,1032,2,672.0,Av,1900,"140,000$"
705,7,1484,1484,2,606.0,Gd,2004,"213,000$"
706,7,1092,372,0,0.0,BA,1930,"55,000$"
707,5,1824,1824,2,739.0,Gd,1971,"302,000$"
708,6,1324,1324,2,550.0,VG,2006,"254,000$"
709,8,1456,728,2,400.0,Gd,2007,"179,540$"
710,6,904,904,1,408.0,Av,1966,"109,900$"
711,5,729,729,0,0.0,Fa,1935,"52,000$"
712,7,1178,859,1,384.0,BA,1900,"102,776$"
713,5,1228,1228,2,472.0,VG,1988,"189,000$"
714,6,960,960,2,576.0,BA,1970,"129,000$"
715,6,1479,725,2,475.0,AA,1976,"130,500$"
716,7,1350,1350,2,478.0,AA,1974,"165,000$"
717,8,2554,1576,2,704.0,Gd,1890,"159,500$"
718,5,1178,1178,2,439.0,Av,1973,"157,000$"
719,9,2418,1325,3,983.0,Gd,1993,"341,000$"
720,5,971,971,1,300.0,Av,1969,"128,500$"
721,5,1742,1742,2,564.0,VG,1985,"275,000$"
722,3,848,848,2,420.0,AA,2004,"143,000$"
723,5,864,864,2,463.0,BA,1970,"124,500$"
724,7,1470,997,1,548.0,BA,1954,"135,000$"
725,8,1698,1698,3,768.0,Ex,2007,"320,000$"
726,5,864,864,2,660.0,BA,1970,"120,500$"
727,5,1680,1680,2,540.0,AA,1988,"222,000$"
728,6,1232,1232,2,632.0,Gd,2007,"194,500$"
729,9,1776,1776,3,888.0,Av,1958,"110,000$"
730,5,1208,848,2,539.0,BA,1925,"103,000$"
731,5,1616,1616,2,608.0,VG,1995,"236,500$"
732,6,1146,1146,2,438.0,Gd,2003,"187,500$"
733,8,2031,1153,2,541.0,Gd,1998,"222,500$"
734,6,1144,1144,1,264.0,Av,1961,"131,400$"
735,6,948,948,1,300.0,Av,1968,"108,000$"
736,6,1768,880,2,320.0,Gd,1914,"163,000$"
737,6,1040,1040,2,400.0,Fa,1950,"93,500$"
738,8,1801,901,3,800.0,VG,2005,"239,900$"
739,5,1200,1200,0,0.0,Av,1987,"179,000$"
740,7,1728,864,2,572.0,Gd,2004,"190,000$"
741,7,1432,768,2,360.0,Av,1910,"132,000$"
742,5,912,912,1,288.0,AA,1961,"142,000$"
743,6,1349,1349,2,539.0,Gd,2000,"179,000$"
744,6,1464,1464,2,480.0,Av,1963,"175,000$"
745,5,1337,1337,2,462.0,VG,1993,"180,000$"
746,11,2715,1175,2,831.0,VG,1976,"299,800$"
747,8,2256,980,2,554.0,Gd,2000,"236,000$"
748,8,2640,1320,4,864.0,Gd,1880,"265,979$"
749,7,1720,1720,2,527.0,Gd,1996,"260,400$"
750,9,1529,1088,1,240.0,BA,1945,"98,000$"
751,7,1140,792,0,0.0,BA,1910,"96,500$"
752,6,1320,660,2,400.0,Gd,2003,"162,000$"
753,6,1494,1494,2,576.0,AA,1997,"217,000$"
754,8,2098,1038,3,878.0,VG,2005,"275,500$"
755,5,1026,1026,2,440.0,AA,1969,"156,000$"
756,6,1471,742,2,440.0,AA,1999,"172,500$"
757,7,1768,866,2,578.0,VG,2007,"212,000$"
758,6,1386,672,2,440.0,AA,1978,"158,900$"
759,6,1501,757,2,440.0,Gd,1999,"179,400$"
760,9,2531,1328,3,752.0,VG,1995,"290,000$"
761,5,864,864,1,300.0,AA,1959,"127,500$"
762,5,1301,1301,2,440.0,Av,1924,"100,000$"
763,7,1547,764,2,614.0,Gd,2009,"215,200$"
764,8,2365,1268,3,856.0,VG,1999,"337,000$"
765,6,1494,1494,2,481.0,VG,1995,"270,000$"
766,6,1506,1506,2,592.0,Ex,2008,"264,132$"
767,7,1714,980,2,496.0,Gd,1988,"196,500$"
768,7,1750,983,1,423.0,AA,1940,"160,000$"
769,8,1836,1836,2,484.0,Gd,2004,"216,837$"
770,12,3279,1690,3,841.0,VG,2003,"538,000$"
771,5,858,858,2,576.0,Av,1982,"134,900$"
772,6,1220,1220,2,396.0,BA,1951,"102,000$"
773,6,1117,1117,2,672.0,AA,1976,"107,000$"
774,5,912,912,1,275.0,Av,1958,"114,500$"
775,9,1973,1973,3,895.0,VG,2006,"395,000$"
776,5,1204,1204,2,412.0,AA,1998,"162,000$"
777,7,1614,1614,3,865.0,Gd,2005,"221,500$"
778,5,894,894,2,440.0,Av,1974,"142,500$"
779,10,2020,2020,2,630.0,Av,1977,"144,000$"
780,4,1004,1004,2,504.0,AA,1977,"135,000$"
781,6,1253,1253,2,402.0,Gd,1995,"176,000$"
782,7,1603,810,2,484.0,AA,1992,"175,900$"
783,6,1430,1430,2,605.0,Gd,2001,"187,100$"
784,4,1110,1110,2,602.0,Av,1978,"165,500$"
785,9,1484,742,0,0.0,AA,1914,"128,000$"
786,7,1342,1342,2,457.0,AA,1967,"161,500$"
787,7,1652,966,1,416.0,Av,1915,"139,000$"
788,8,2084,956,2,618.0,Gd,2004,"233,000$"
789,4,901,901,1,281.0,BA,1954,"107,900$"
790,9,2087,976,2,444.0,AA,1966,"187,500$"
791,5,1145,1145,2,397.0,Gd,2005,"160,200$"
792,5,1062,1062,2,539.0,AA,1976,"146,800$"
793,8,2013,1127,2,455.0,Gd,1996,"269,790$"
794,7,1496,1496,2,474.0,VG,2007,"225,000$"
795,7,1895,1086,2,409.0,Gd,1994,"194,500$"
796,7,1564,888,2,476.0,AA,1980,"171,000$"
797,7,1285,1285,2,528.0,AA,1977,"143,500$"
798,4,773,773,1,240.0,Av,1953,"110,000$"
799,11,3140,1966,3,820.0,Ex,2008,"485,000$"
800,7,1768,981,1,240.0,Av,1937,"175,000$"
801,8,1688,616,2,603.0,AA,1997,"200,000$"
802,5,1196,1196,2,440.0,BA,1916,"109,900$"
803,7,1456,728,2,410.0,Gd,2005,"189,000$"
804,12,2822,1734,3,1020.0,Ex,2008,"582,933$"
805,5,1128,1128,1,286.0,Av,1954,"118,000$"
806,6,1428,1428,2,554.0,Gd,2008,"227,680$"
807,6,980,980,1,384.0,Av,1967,"135,500$"
808,6,1576,1072,2,528.0,Av,1923,"223,500$"
809,6,1086,1086,2,484.0,Av,1966,"159,950$"
810,11,2138,1075,2,360.0,Av,1898,"106,000$"
811,5,1309,1309,2,484.0,AA,1974,"181,000$"
812,4,848,848,2,420.0,AA,2004,"144,500$"
813,4,1044,1044,2,504.0,Av,1952,"55,993$"
814,7,1442,1442,1,301.0,AA,1958,"157,900$"
815,7,1250,686,1,280.0,Av,1918,"116,000$"
816,6,1661,1661,2,598.0,Gd,1998,"224,900$"
817,4,1008,1008,1,275.0,Av,1954,"137,000$"
818,7,1689,1689,3,857.0,VG,2002,"271,000$"
819,6,1052,1052,2,440.0,AA,1971,"155,000$"
820,6,1358,1358,2,484.0,Gd,2009,"224,000$"
821,6,1640,798,2,595.0,Gd,2003,"183,000$"
822,4,936,936,2,576.0,BA,1953,"93,000$"
823,7,1733,847,2,433.0,Gd,2003,"225,000$"
824,7,1489,944,1,240.0,AA,1940,"139,500$"
825,7,1489,1489,2,776.0,VG,2006,"232,600$"
826,7,2084,2084,3,1220.0,VE,2007,"385,000$"
827,5,784,784,0,0.0,Av,1924,"109,500$"
828,6,1434,1434,2,527.0,Gd,2001,"189,000$"
829,7,2126,1160,2,538.0,Av,1967,"185,000$"
830,4,1223,520,2,480.0,Gd,2005,"147,400$"
831,6,1392,1392,2,458.0,AA,1957,"166,000$"
832,4,1200,520,2,480.0,Gd,2005,"151,000$"
833,7,1829,941,2,613.0,Gd,2003,"237,000$"
834,6,1516,1516,2,472.0,AA,1964,"167,000$"
835,6,1144,1144,2,456.0,Av,1961,"139,950$"
836,4,1067,1067,2,436.0,BA,1950,"128,000$"
837,5,1559,1559,2,812.0,Av,1948,"153,500$"
838,5,987,483,1,264.0,AA,1973,"100,000$"
839,6,1099,1099,1,352.0,Av,1995,"144,000$"
840,6,1200,768,1,240.0,Av,1946,"130,500$"
841,7,1482,810,1,400.0,AA,1925,"140,000$"
842,8,1539,958,2,686.0,Av,1904,"157,500$"
843,6,1165,1165,2,490.0,AA,1966,"174,900$"
844,10,1800,1800,0,0.0,Av,1961,"141,000$"
845,7,1416,876,3,720.0,Av,1915,"153,900$"
846,6,1701,1701,2,611.0,Av,1975,"171,000$"
847,7,1775,1006,2,425.0,Gd,1993,"213,000$"
848,5,864,864,1,338.0,Av,1972,"133,500$"
849,10,2358,1307,2,360.0,AA,1908,"240,000$"
850,7,1855,1094,2,512.0,AA,1976,"187,000$"
851,3,848,848,2,420.0,AA,2003,"131,500$"
852,7,1456,1456,2,400.0,VG,2003,"215,000$"
853,7,1646,918,1,240.0,Gd,1941,"164,000$"
854,7,1445,1445,2,645.0,AA,1964,"158,000$"
855,6,1779,1779,2,454.0,Av,1955,"170,000$"
856,6,1040,1040,1,260.0,Av,1962,"127,000$"
857,5,1026,1026,2,576.0,AA,1978,"147,000$"
858,6,1481,702,2,343.0,AA,1994,"174,000$"
859,6,1370,1370,2,479.0,Gd,1976,"152,000$"
860,9,2654,1512,2,619.0,AA,1968,"250,000$"
861,7,1426,912,1,216.0,Gd,1918,"189,950$"
862,6,1039,1039,2,504.0,Av,1965,"131,500$"
863,6,1097,1097,2,480.0,AA,1984,"152,000$"
864,6,1148,1148,1,672.0,Av,1959,"132,500$"
865,6,1372,1372,2,529.0,Gd,2007,"250,580$"
866,5,1002,1002,2,902.0,Av,1970,"148,500$"
867,6,1646,1646,3,870.0,VG,2006,"248,900$"
868,5,1120,1120,2,544.0,BA,1961,"129,000$"
869,7,2320,1547,2,672.0,Av,1948,"169,000$"
870,8,1949,1062,2,574.0,Gd,1993,"236,000$"
871,5,894,894,1,308.0,Av,1962,"109,500$"
872,7,1682,804,2,523.0,AA,1998,"200,500$"
873,5,910,910,2,414.0,Av,1953,"116,000$"
874,6,1268,1036,1,288.0,Av,1949,"133,000$"
875,5,1131,676,1,200.0,Av,1941,"66,500$"
876,11,2610,1184,2,550.0,VG,2007,"303,477$"
877,5,1040,1040,2,648.0,BA,1963,"132,250$"
878,10,2224,1462,3,738.0,Ex,2004,"350,000$"
879,6,1155,1155,2,576.0,Av,1961,"148,000$"
880,6,864,864,1,336.0,Av,1978,"136,500$"
881,5,1090,1090,2,450.0,Av,2005,"157,000$"
882,7,1717,1187,2,400.0,Gd,1990,"187,500$"
883,7,1593,808,2,389.0,AA,1992,"178,000$"
884,10,2230,954,1,440.0,BA,1912,"118,500$"
885,5,892,892,1,288.0,Av,1967,"100,000$"
886,5,1709,1709,2,506.0,Ex,1999,"328,900$"
887,8,1712,1712,2,588.0,Av,1959,"145,000$"
888,8,1393,872,1,300.0,Av,1955,"135,500$"
889,8,2217,2217,2,621.0,VG,1970,"268,000$"
890,6,1505,1505,2,505.0,AA,1953,"149,500$"
891,6,924,672,2,576.0,Av,1949,"122,900$"
892,7,1683,918,2,440.0,AA,1978,"172,500$"
893,6,1068,1068,1,264.0,AA,1963,"154,500$"
894,6,1383,1383,1,354.0,Av,1954,"165,000$"
895,8,1535,1535,2,400.0,Av,1979,"118,858$"
896,8,1796,983,2,483.0,AA,1963,"140,000$"
897,6,951,951,1,327.0,BA,1936,"106,500$"
898,12,2240,1120,2,528.0,Av,1979,"142,953$"
899,11,2364,2364,3,820.0,Ex,2009,"611,657$"
900,6,1236,1236,1,288.0,Av,1961,"135,000$"
901,4,858,858,1,684.0,BA,1971,"110,000$"
902,5,1306,1306,1,756.0,Av,1957,"153,000$"
903,8,1509,807,2,393.0,Gd,2003,"180,000$"
904,7,1670,1670,3,690.0,Gd,2006,"240,000$"
905,6,902,902,1,288.0,Av,1967,"125,500$"
906,6,1063,1063,1,280.0,Av,1954,"128,000$"
907,8,1636,1636,3,865.0,VG,2006,"255,000$"
908,6,2057,1020,1,180.0,Gd,1936,"250,000$"
909,5,902,902,2,484.0,Av,1983,"131,000$"
910,8,1484,742,2,390.0,AA,2005,"174,000$"
911,12,2274,1105,2,480.0,Av,1960,"154,300$"
912,5,1268,1268,1,252.0,Av,1977,"143,500$"
913,6,1015,1015,1,450.0,Av,1925,"88,000$"
914,8,2002,1001,3,871.0,Av,1949,"145,000$"
915,4,1224,612,2,528.0,AA,2009,"173,733$"
916,6,1092,546,1,286.0,BA,1970,"75,000$"
917,4,480,480,1,308.0,Po,1949,"35,311$"
918,6,1229,1229,1,284.0,BA,1956,"135,000$"
919,8,2127,912,3,833.0,Gd,1991,"238,000$"
920,6,1414,1414,2,601.0,AA,1958,"176,500$"
921,7,1721,936,2,471.0,AA,1994,"201,000$"
922,9,2200,1272,0,0.0,Av,1900,"145,900$"
923,6,1316,1316,2,397.0,AA,2005,"169,990$"
924,5,1617,1617,2,533.0,AA,1993,"193,000$"
925,7,1686,1686,2,612.0,AA,1980,"207,500$"
926,6,1126,1126,2,540.0,Av,1977,"175,000$"
927,10,2374,1234,3,656.0,VG,2003,"285,000$"
928,9,1978,1098,2,486.0,Gd,1968,"176,000$"
929,7,1788,1788,2,522.0,VG,2001,"236,500$"
930,8,2236,993,2,642.0,Gd,1997,"222,000$"
931,7,1466,1466,3,610.0,VG,2007,"201,000$"
932,5,925,925,1,429.0,Av,1965,"117,500$"
933,8,1905,1905,3,788.0,Ex,2006,"320,000$"
934,6,1500,1500,2,570.0,Gd,2004,"190,000$"
935,9,2069,2069,2,505.0,Gd,1960,"242,000$"
936,5,747,747,2,528.0,BA,1926,"79,900$"
937,5,1200,1200,2,555.0,Gd,2003,"184,900$"
938,8,1971,1113,2,689.0,Gd,2005,"253,000$"
939,7,1962,1391,3,868.0,Gd,2006,"239,799$"
940,10,2403,1207,1,349.0,Gd,1940,"244,400$"
941,8,1728,1728,2,574.0,AA,1976,"150,900$"
942,8,2060,1022,2,390.0,Gd,1999,"214,000$"
943,8,1440,1440,0,0.0,BA,1977,"150,000$"
944,8,1632,1632,2,576.0,Av,1967,"143,000$"
945,7,1344,1344,2,525.0,AA,1958,"137,500$"
946,7,1869,1188,2,456.0,Av,1890,"124,900$"
947,6,1144,1144,1,796.0,Av,1959,"143,000$"
948,9,1629,1629,3,808.0,VG,2002,"270,000$"
949,7,1776,936,2,474.0,Gd,2002,"192,500$"
950,5,1381,1381,2,676.0,AA,1972,"197,500$"
951,5,864,864,2,720.0,Av,1950,"129,000$"
952,6,965,965,1,300.0,Av,1965,"119,900$"
953,5,768,768,1,396.0,Av,1972,"133,900$"
954,7,1968,1168,2,530.0,Av,1969,"172,000$"
955,4,980,980,0,0.0,AA,1975,"127,500$"
956,8,1958,979,2,492.0,AA,1946,"145,000$"
957,5,1229,561,2,462.0,AA,1980,"124,000$"
958,6,1057,1057,2,576.0,Av,1962,"132,000$"
959,6,1337,1337,2,531.0,Gd,2003,"185,000$"
960,6,1416,696,2,484.0,Gd,1999,"155,000$"
961,4,858,858,0,0.0,Av,1958,"116,500$"
962,11,2872,1542,2,619.0,AA,1977,"272,000$"
963,7,1548,804,2,440.0,AA,1976,"155,000$"
964,7,1800,1800,2,702.0,Ex,2007,"239,000$"
965,8,1894,824,2,510.0,Gd,2002,"214,900$"
966,8,1484,783,2,393.0,AA,2005,"178,900$"
967,7,1308,976,1,256.0,Av,1940,"160,000$"
968,6,1098,1098,1,260.0,Av,1955,"135,000$"
